Forest	Der Wald	Die Wälder
Size	Die Größe	Die Größen
Set	Der Satz	Die Sätze
Marriage	Die Ehe	Die Ehen
Forehead	Die Stirn	Die Stirnen
Storm	Der Sturm	Die Stürme
Doorway	Der Durchgang	Die Durchgänge
Situation	Die Situation	Die Situationen
Counter	Die Theke	Die Theken
Neighbor	Der Nachbar	Die Nachbarn
Photo	Das Foto	Die Fotos
Stage	Die Bühne	Die Bühnen
Meeting	Das Treffen	Die Treffen
Nurse	Die Krankenschwester	Die Krankenschwestern
Security	Die Sicherheit	Die Sicherheiten
Weapon	Die Waffe	Die Waffen
Event	Das Ereignis	Die Ereignisse
Ceiling	Die Decke	Die Decken
Engine	Der Motor	Die Motoren
Gift	Das Geschenk	Die Geschenke
Restaurant	Das Restaurant	Die Restaurants
Board	Das Brett	Die Bretter
Hallway	Der Flur	Die Flure
Army	Die Armee	-
Effort	Der Aufwand	Die Aufwände
East	Der Osten	-
Agent	Der Agent	Die Agenten
Future	Die Zukunft	Die Zukunft
Pant	Die Hose	Die Hosen
Leather	Das Leder	-
Flight	Der Flug	Die Flüge
Sex	Der Sex	-
Court	Das Gericht	Die Gerichte
Course	Der Kurs	Die Kurse
Dirt	Der Schmutz	-
Egg	Das Ei	Die Eier
Chin	Das Kinn	Die Kinne
Stranger	Der Fremde	Die Fremden
Pleasure	Das Vergnügen	Die Vergnügen
Detail	Das Detail	Die Details
Crew	Die Besatzung	Die Besatzungen
Fall	Der Herbst	Die Fälle
Guest	Der Gast	Die Gäste
Experience	Die Erfahrung	Die Erfahrungen
Joke	Der Witz	Die Witze
Sand	Der Sand	-
Fist	Die Faust	Die Fäuste
Action	Die Aktion	Die Aktionen
Walk	Der Spaziergang	Die Spaziergänge
Wedding	Die Hochzeit	Die Hochzeiten
Deal	Das Geschäft	Die Geschäfte
Nature	Die Natur	-
Planet	Der Planet	Die Planeten
Cousin	Der Cousin	Die Cousins
Movement	Die Bewegung	Die Bewegungen
Flesh	Das Fleisch	-
Record	Der Rekord	Die Rekorde
Camp	Das Lager	Die Lager
Newspaper	Die Zeitung	Die Zeitungen
Ray	Der Strahl	Die Strahlen
Human	Der Mensch	Die Menschen
Couch	Die Couch	Die Couches
Motion	Die Bewegung	Die Bewegungen
Grandfather	Der Großvater	Die Großväter
Photograph	Das Foto	Die Fotos
Secret	Das Geheimnis	Die Geheimnisse
Beauty	Die Schönheit	Die Schönheiten
Presence	Die Anwesenheit	-
Bell	Die Glocke	Die Glocken
Folk	Das Volk	-
Button	Der Knopf	Die Knöpfe
List	Die Liste	Die Listen
Level	Das Level	Die Level
Date	Das Datum	Die Daten
Subject	Das Fach	Die Fächer
Difference	Der Unterschied	Die Unterschiede
Pause	Die Pause	Die Pausen
Van	Der Lieferwagen	Die Lieferwagen
Blade	Die Klinge	Die Klingen
Television	Das Fernsehen	Die Fernseher
Cover	Die Abdeckung	Die Abdeckungen
Past	Die Vergangenheit	-
Farm	Die Farm	Die Farmen
Lap	Der Schoß	Die Schoß
Band	Die Band	Die Bands
Lawyer	Der Anwalt	Die Anwälte
Magazine	Das Magazin	Die Magazine
Branch	Der Ast	Die Äste
Frame	Der Rahmen	Die Rahmen
Deck	Das Deck	Die Decks
Effect	Die Wirkung	Die Wirkungen
Dance	Der Tanz	Die Tänze
Vision	Die Vision	Die Visionen
Ghost	Das Geist	Die Geister
Ass	Der Hintern	Die Hintern
Character	Der Charakter	Die Charaktere
Glance	Der Blick	Die Blicke
Goodbye	Der Abschied	-
Parking	Das Parken	-
Breakfast	Das Frühstück	Die Frühstücke
