Side	Die Seite	Die Seiten
Arm	Der Arm	Die Arme
Child	Das Kind	Die Kinder
Word	Das Wort	Die Wörter
Moment	Der Moment	Die Momente
Hair	Das Haar	Die Haare
Foot	Der Fuß	Die Füße
Water	Das Wasser	-
Light	Das Licht	Die Lichter
World	Die Welt	Die Welten
Name	Der Name	Die Namen
Friend	Der Freund	Die Freunde
Window	Das Fenster	Die Fenster
Body	Der Körper	Die Körper
Table	Der Tisch	Die Tische
Morning	Der Morgen	Die Morgen
Bed	Das Bett	Die Betten
Wall	Die Wand	Die Wände
Street	Die Straße	Die Straßen
School	Die Schule	Die Schulen
Air	Die Luft	-
Floor	Der Boden	Die Böden
Hour	Die Stunde	Die Stunden
End	Das Ende	Die Enden
Family	Die Familie	Die Familien
Guy	Der Kerl	Die Kerle
Kind	Das Kind	Die Kinder
Minute	Die Minute	Die Minuten
Story	Die Geschichte	Die Geschichten
God	Der Gott	Die Götter
Week	Die Woche	Die Wochen
Work	Die Arbeit	-
Shoulder	Die Schulter	Die Schultern
Part	Der Teil	Die Teile
Mind	Der Verstand	-
Book	Das Buch	Die Bücher
Finger	Der Finger	Die Finger
Mouth	Der Mund	Die Münder
Kid	Das Kind	Die Kinder
Glass	Das Glas	Die Gläser
Tree	Der Baum	Die Bäume
Sound	Der Klang	Die Klänge
Line	Die Linie	Die Linien
Wife	Die Ehefrau	Die Ehefrauen
Heart	Das Herz	Die Herzen
Money	Das Geld	-
Phone	Das Telefon	Die Telefone
Look	Der Blick	Die Blicke
Leg	Das Bein	Die Beine
Chair	Der Stuhl	Die Stühle
Office	Das Büro	Die Büros
Brother	Der Bruder	Die Brüder
Question	Die Frage	Die Fragen
City	Die Stadt	Die Städte
Month	Der Monat	Die Monate
Baby	Das Baby	Die Babys
Home	Das Zuhause	Die Zuhause
Dog	Der Hund	Die Hunde
Road	Die Straße	Die Straßen
Idea	Die Idee	Die Ideen
Kitchen	Die Küche	Die Küchen
Lot	Das Grundstück	Die Grundstücke
Son	Der Sohn	Die Söhne
Job	Der Job	Die Jobs
Paper	Das Papier	Die Papiere
Sister	Die Schwester	Die Schwestern
Smile	Das Lächeln	Die Lächeln
Point	Der Punkt	Die Punkte
Thought	Der Gedanke	Die Gedanken
Love	Die Liebe	-
Town	Die Stadt	Die Städte
Death	Der Tod	Die Tode
Ground	Der Boden	Die Böden
Others	Die Anderen	-
Fire	Das Feuer	Die Feuer
