Orange	Die Orange	Die Orangen
Culture	Die Kultur	Die Kulturen
Tour	Die Tour	Die Touren
Commander	Der Kommandant	Die Kommandanten
Hook	Der Haken	Die Haken
Mist	Der Nebel	- 
Training	Das Training	Die Trainings
Search	Die Suche	Die Suchen
Coin	Die Münze	Die Münzen
Miracle	Das Wunder	Die Wunder
Advantage	Der Vorteil	Die Vorteile
Exchange	Der Austausch	Die Austausche
Fiction	Die Fiktion	- 
Pond	Der Teich	Die Teiche
Assistant	Der Assistent	Die Assistenten
Design	Das Design	Die Designs
Fishing	Das Angeln	- 
Slope	Der Hang	Die Hänge
Earl	Der Graf	Die Grafen
Comment	Der Kommentar	Die Kommentare
Waiter	Der Kellner	Die Kellner
Grocery	Der Lebensmittel	Die Lebensmittel
Ladder	Die Leiter	Die Leitern
Curve	Die Kurve	Die Kurven
Volume	Das Volumen	Die Volumina
Risk	Das Risiko	Die Risiken
Nightmare	Der Albtraum	Die Albträume
Existence	Die Existenz	- 
Trace	Die Spur	Die Spuren
Disease	Die Krankheit	Die Krankheiten
Support	Die Unterstützung	- 
Witness	Der Zeuge	Die Zeugen
Stock	Der Bestand	Die Bestände
Device	Das Gerät	Die Geräte
Landscape	Die Landschaft	Die Landschaften
Holiday	Der Feiertag	Die Feiertage
Ace	Das Ass	Die Asse
Piano	Das Klavier	Die Klaviere
Gut	Der Darm	- 
Talent	Das Talent	Die Talente
Imagination	Die Fantasie	- 
Black	Das Schwarz	- 
Reed	Der Rohrkolben	Die Rohrkolben
Lid	Der Deckel	Die Deckel
Hint	Der Hinweis	Die Hinweise
Walker	Der Spaziergänger	Die Spaziergänger
Chill	Das Schaudern	- 
Trial	Der Prozess	Die Prozesse
Interview	Das Interview	Die Interviews
Approach	Der Ansatz	Die Ansätze
Scar	Die Narbe	Die Narben
Fashion	Die Mode	- 
Channel	Der Kanal	Die Kanäle
Footstep	Der Fußabdruck	Die Fußabdrücke
Pickup	Der Pick-up	Die Pick-ups
Hawk	Der Habicht	Die Habichte
Trailer	Der Anhänger	Die Anhänger
Statue	Die Statue	Die Statuen
Pill	Die Pille	Die Pillen
Bug	Der Käfer	Die Käfer
Bucket	Der Eimer	Die Eimer
Vacation	Der Urlaub	Die Urlaube
Species	Die Art	Die Arten
Column	Die Säule	Die Säulen
Damage	Der Schaden	- 
Instrument	Das Instrument	Die Instrumente
Port	Der Hafen	Die Häfen
Layer	Die Schicht	Die Schichten
Strip	Der Streifen	Die Streifen
Garbage	Der Müll	- 
Rib	Die Rippe	Die Rippen
Notebook	Das Notizbuch	Die Notizbücher
Corn	Der Mais	- 
Offer	Das Angebot	Die Angebote
Drawing	Die Zeichnung	Die Zeichnungen
Statement	Die Aussage	Die Aussagen
Intelligence	Die Intelligenz	- 
Excuse	Die Entschuldigung	Die Entschuldigungen
Landing	Die Landung	Die Landungen
Copyright	Das Urheberrecht	- 
Rod	Die Stange	Die Stangen
Fantasy	Die Fantasie	Die Fantasien
Curiosity	Die Neugierde	- 
Gown	Das Gewand	Die Gewänder
Border	Die Grenze	Die Grenzen
Poetry	Die Poesie	- 
Firm	Die Firma	Die Firmen
Rise	Der Anstieg	Die Anstiege
Handful	Die Handvoll	Die Handvoll
China	Das Porzellan	- 
French	Der Franzose	Die Franzosen
Mean	Der Durchschnitt	Die Durchschnitte
Deer	Das Reh	Die Rehe
Print	Der Druck	Die Drucke
Rail	Die Schiene	Die Schienen
Rate	Der Tarif	Die Tarife
Courage	Der Mut	- 
Arrival	Die Ankunft	Die Ankünfte
Wish	Der Wunsch	Die Wünsche
Ridge	Der Bergrücken	Die Bergrücken
