Collar	Der Kragen	Die Kragen 
Horn	Das Horn	Die Hörner 
Oak	Die Eiche	Die Eichen 
Ankle	Der Knöchel	Die Knöchel 
Doll	Die Puppe	Die Puppen 
Sandwich	Das Sandwich	Die Sandwiches 
Robin	Der Rotkehlchen	Die Rotkehlchen 
Justice	Die Gerechtigkeit	- 
Pride	Der Stolz	- 
Youth	Die Jugend	- 
Secretary	Der Sekretär	Die Sekretäre 
Research	Die Forschung	- 
Sport	Der Sport	Die Sportarten 
Task	Die Aufgabe	Die Aufgaben 
Grant	Das Stipendium	Die Stipendien 
Sheriff	Der Sheriff	Die Sheriffs 
Midnight	Die Mitternacht	- 
Chip	Der Chip	Die Chips 
Theory	Die Theorie	Die Theorien 
Alarm	Der Alarm	Die Alarme 
Collection	Die Sammlung	Die Sammlungen 
Cross	Das Kreuz	Die Kreuze 
Pine	Die Kiefer	Die Kiefern 
Generation	Die Generation	Die Generationen 
Authority	Die Autorität	Die Autoritäten 
Papa	Der Papa	Die Papas 
Journey	Die Reise	Die Reisen 
Pearl	Die Perle	Die Perlen 
Toilet	Die Toilette	Die Toiletten 
Killer	Der Mörder	Die Mörder 
Tool	Das Werkzeug	Die Werkzeuge 
Medicine	Die Medizin	Die Medizinen 
Sugar	Der Zucker	- 
Princess	Die Prinzessin	Die Prinzessinnen 
Argument	Das Argument	Die Argumente 
Cliff	Die Klippe	Die Klippen 
Cart	Der Wagen	Die Wagen 
Crystal	Der Kristall	Die Kristalle 
Bean	Die Bohne	Die Bohnen 
Cage	Der Käfig	Die Käfige 
Chocolate	Die Schokolade	- 
Coast	Die Küste	Die Küsten 
Decade	Das Jahrzehnt	Die Jahrzehnte 
Meaning	Die Bedeutung	Die Bedeutungen 
Gear	Das Getriebe	Die Getriebe 
Suitcase	Der Koffer	Die Koffer 
Operation	Die Operation	Die Operationen 
Breathing	Das Atmen	- 
Role	Die Rolle	Die Rollen 
Version	Die Version	Die Versionen 
Prisoner	Der Gefangene	Die Gefangenen 
Match	Das Spiel	Die Spiele 
Beam	Der Strahl	Die Strahlen 
Castle	Das Schloss	Die Schlösser 
Rush	Der Rausch	Die Räusche 
Lane	Die Fahrspur	Die Fahrspuren 
Clothing	Die Kleidung	- 
Pole	Der Pfahl	Die Pfähle 
Freedom	Die Freiheit	- 
Skill	Die Fähigkeit	Die Fähigkeiten 
Passion	Die Leidenschaft	Die Leidenschaften 
Activity	Die Aktivität	Die Aktivitäten 
Fuck	Der Fick	Die Ficks 
Platform	Die Plattform	Die Plattformen 
Salt	Das Salz	- 
Bike	Das Fahrrad	Die Fahrräder 
Stack	Der Stapel	Die Stapel 
Companion	Der Begleiter	Die Begleiter 
Fate	Das Schicksal	- 
Rage	Die Wut	Die Wut 
Supply	Die Versorgung	Die Versorgungen 
Whale	Der Wal	Die Wale 
Pig	Das Schwein	Die Schweine 
Rabbit	Das Kaninchen	Die Kaninchen 
Aisle	Der Gang	Die Gänge 
Monitor	Der Monitor	Die Monitore 
Helmet	Der Helm	Die Helme 
Respect	Der Respekt	- 
Excitement	Die Aufregung	- 
Lobby	Die Lobby	Die Lobbys 
Boyfriend	Der Freund	Die Freunde 
Fur	Der Pelz	Die Felle 
Range	Die Bandbreite	Die Bandbreiten 
Dick	Der Schwanz	Die Schwänze 
Code	Der Code	Die Codes 
Chapter	Das Kapitel	Die Kapitel 
Reflection	Die Reflexion	Die Reflexionen 
Mail	Die Post	Die Mails 
Fly	Die Fliege	Die Fliegen 
Cabinet	Der Schrank	Die Schränke 
Toy	Das Spielzeug	Die Spielzeuge 
Baseball	Der Baseball	Die Baseballs 
Inside	Das Innere	- 
Pace	Das Tempo	- 
Handle	Der Griff	Die Griffe 
Lead	Das Blei	- 
Amount	Die Menge	Die Mengen 
Nerve	Der Nerv	Die Nerven 
Terror	Der Terror	- 
Sweater	Der Pullover	Die Pullover
