Emergency	Der Notfall	Die Notfälle 
Material	Das Material	Die Materialien 
Childhood	Die Kindheit	- 
Habit	Die Gewohnheit	Die Gewohnheiten 
Artist	Der Künstler	Die Künstler 
Address	Die Adresse	Die Adressen 
Scent	Der Duft	Die Düfte 
Universe	Das Universum	Die Universen 
Nod	Das Nicken	- 
Shell	Die Muschel	Die Muscheln 
Community	Die Gemeinschaft	Die Gemeinschaften 
Start	Der Start	Die Starts 
Wound	Die Wunde	Die Wunden 
Mouse	Die Maus	Die Mäuse 
Pilot	Der Pilot	Die Piloten 
Grade	Die Note	Die Noten 
Video	Das Video	Die Videos 
Basket	Der Korb	Die Körbe 
Wagon	Der Waggon	Die Waggons 
Attempt	Der Versuch	Die Versuche 
Sofa	Das Sofa	Die Sofas 
Cake	Der Kuchen	Die Kuchen 
Fellow	Der Kerl	Die Kerle 
Affair	Die Angelegenheit	Die Angelegenheiten 
Shore	Die Küste	Die Küsten 
General	Der General	Die Generäle 
Root	Die Wurzel	Die Wurzeln 
Robe	Der Umhang	Die Umhänge 
Concern	Die Sorge	Die Sorgen 
Press	Die Presse	- 
Rat	Die Ratte	Die Ratten 
Society	Die Gesellschaft	Die Gesellschaften 
Style	Der Stil	Die Stile 
County	Der Bezirk	Die Bezirke 
Command	Der Befehl	Die Befehle 
Visitor	Der Besucher	Die Besucher 
Model	Das Modell	Die Modelle 
Chamber	Die Kammer	Die Kammern 
Beast	Das Tier	Die Tiere 
Bunch	Der Strauß	Die Sträuße 
Background	Der Hintergrund	Die Hintergründe 
Unit	Die Einheit	Die Einheiten 
Furniture	Das Möbel	Die Möbel 
Nail	Der Nagel	Die Nägel 
Scream	Der Schrei	Die Schreie 
Property	Das Eigentum	- 
Equipment	Die Ausrüstung	- 
Driveway	Die Auffahrt	Die Auffahrten 
Grip	Der Griff	Die Griffe 
Tube	Die Röhre	Die Röhren 
Ash	Die Asche	Die Aschen 
Fan	Der Ventilator	Die Ventilatoren 
Opinion	Die Meinung	Die Meinungen 
Data	Die Daten	- 
Connection	Die Verbindung	Die Verbindungen 
Trick	Der Trick	Die Tricks 
Mystery	Das Geheimnis	Die Geheimnisse 
Period	Die Periode	Die Perioden 
Writing	Die Schrift	Die Schriften 
Horror	Der Horror	- 
Candy	Die Süßigkeiten	- 
Bitch	Die Hündin	Die Hündinnen 
Health	Die Gesundheit	- 
Manager	Der Manager	Die Manager 
Safety	Die Sicherheit	- 
Height	Die Höhe	Die Höhen 
Appearance	Das Aussehen	- 
Sigh	Der Seufzer	Die Seufzer 
Mine	Die Mine	Die Minen 
Cloth	Der Stoff	Die Stoffe 
Reaction	Die Reaktion	Die Reaktionen 
Source	Die Quelle	Die Quellen 
Self	Das Selbst	- 
Pistol	Die Pistole	Die Pistolen 
Airport	Der Flughafen	Die Flughäfen 
Hero	Der Held	Die Helden 
Promise	Das Versprechen	Die Versprechen 
Bow	Der Bogen	Die Bögen 
Tent	Das Zelt	Die Zelte 
Booth	Der Stand	Die Stände 
Cash	Das Bargeld	- 
Avenue	Die Allee	Die Alleen 
TShirt	Das T-Shirt	Die T-Shirts 
Carpet	Der Teppich	Die Teppiche 
Basement	Der Keller	Die Keller 
Girlfriend	Die Freundin	Die Freundinnen 
Beard	Der Bart	Die Bärte 
Brow	Die Augenbraue	Die Augenbrauen 
Display	Der Bildschirm	Die Bildschirme 
Signal	Das Signal	Die Signale 
Servant	Der Diener	Die Diener 
Whisper	Das Flüstern	Die Flüster 
Doubt	Der Zweifel	Die Zweifel 
Account	Das Konto	Die Konten 
Magic	Die Magie	- 
Hank	Der Klumpen	Die Klumpen 
Limb	Das Glied	Die Glieder 
Bastard	Der Bastard	Die Bastarde 
Skull	Der Schädel	Die Schädel 
Sentence	Der Satz	Die Sätze 
