Market	Der Markt	Die Märkte
Loss	Der Verlust	Die Verluste
Series	Die Serie	Die Serien
Pen	Der Stift	Die Stifte
Term	Der Begriff	Die Begriffe
Poem	Das Gedicht	Die Gedichte
Prince	Der Prinz	Die Prinzen
Clay	Der Ton	Die Tone
Lock	Das Schloss	Die Schlösser
Reality	Die Realität	Die Realitäten
Snake	Die Schlange	Die Schlangen 
Apple	Der Apfel	Die Äpfel 
Mask	Die Maske	Die Masken 
Customer	Der Kunde	Die Kunden 
Birth	Die Geburt	Die Geburten 
Break	Die Pause	Die Pausen 
Wonder	Das Wunder	Die Wunder 
Sunlight	Das Sonnenlicht	- 
Tank	Der Panzer	Die Panzer 
Staff	Das Personal	- 
Lie	Die Lüge	Die Lügen 
Faith	Der Glaube	- 
Honor	Die Ehre	- 
Cream	Die Sahne	- 
Sake	Der Grund	- 
Victim	Das Opfer	Die Opfer 
Possibility	Die Möglichkeit	Die Möglichkeiten 
Contact	Der Kontakt	Die Kontakte 
Mood	Die Stimmung	Die Stimmungen 
Thumb	Der Daumen	Die Daumen 
Reading	Das Lesen	- 
Fun	Der Spaß	- 
Candle	Die Kerze	Die Kerzen 
Cave	Die Höhle	Die Höhlen 
Post	Die Post	- 
Prison	Das Gefängnis	Die Gefängnisse 
Emotion	Die Emotion	Die Emotionen 
Leader	Der Führer	Die Führer 
Degree	Der Abschluss	Die Abschlüsse 
Feature	Das Merkmal	Die Merkmale 
Ticket	Die Eintrittskarte	Die Eintrittskarten 
Alien	Das Alien	Die Aliens 
Lesson	Die Lektion	Die Lektionen 
Desert	Die Wüste	Die Wüsten 
Cut	Der Schnitt	Die Schnitte 
Mess	Das Durcheinander	- 
Warning	Die Warnung	Die Warnungen 
Tale	Das Märchen	Die Märchen 
Funeral	Die Beerdigung	Die Beerdigungen 
Cab	Das Taxi	Die Taxis 
Reporter	Der Reporter	Die Reporter 
Present	Das Geschenk	Die Geschenke 
Theater	Das Theater	Die Theater 
Length	Die Länge	- 
Mud	Der Schlamm	- 
Science	Die Wissenschaft	- 
Drop	Der Tropfen	Die Tropfen 
String	Die Schnur	Die Schnüre 
Speech	Die Rede	Die Reden 
Copy	Das Exemplar	Die Exemplare 
Cow	Die Kuh	Die Kühe 
Worker	Der Arbeiter	Die Arbeiter 
Thigh	Der Oberschenkel	Die Oberschenkel 
Lab	Das Labor	Die Labore 
Roll	Die Rolle	Die Rollen 
Fruit	Die Frucht	Die Früchte 
Patch	Das Patch	Die Patches 
Silk	Die Seide	- 
Buck	Der Dollar	Die Dollars 
Brick	Der Ziegel	Die Ziegel 
Rifle	Das Gewehr	Die Gewehre 
Career	Die Karriere	Die Karrieren 
Issue	Die Ausgabe	Die Ausgaben 
Opportunity	Die Gelegenheit	Die Gelegenheiten 
Director	Der Regisseur	Die Regisseure 
Monster	Das Monster	Die Monster 
Vehicle	Das Fahrzeug	Die Fahrzeuge 
Alley	Die Gasse	Die Gassen 
Sleeve	Der Ärmel	Die Ärmel 
Grave	Das Grab	Die Gräber 
Bush	Der Busch	Die Büsche 
Dining	Das Esszimmer	- 
Opening	Die Öffnung	Die Öffnungen 
Twin	Das Zwilling	Die Zwillinge 
Barn	Die Scheune	Die Scheunen 
Pound	Das Pfund	Die Pfunde 
Site	Die Seite	Die Seiten 
Flash	Der Blitz	Die Blitze 
Judge	Der Richter	Die Richter 
Mass	Die Masse	Die Massen 
Process	Der Prozess	Die Prozesse 
Tie	Die Krawatte	Die Krawatten 
Purse	Die Geldbörse	Die Geldbörsen 
Pipe	Die Pfeife	Die Pfeifen 
Dragon	Der Drache	Die Drachen 
Horizon	Der Horizont	Die Horizonte 
Tray	Das Tablett	Die Tabletts 
Envelope	Der Umschlag	Die Umschläge 
Check	Der Scheck	Die Schecks 
Adult	Der Erwachsene	Die Erwachsenen 
