Gesture	Die Geste	Die Gesten
Luck	Das Glück	-
Blanket	Die Decke	Die Decken
Gas	Das Gas	-
Corridor	Der Korridor	Die Korridore
Professor	Der Professor	Die Professoren
Play	Das Stück	Die Stücke
Mistake	Der Fehler	Die Fehler
University	Die Universität	Die Universitäten
Ocean	Der Ozean	Die Ozeane
Century	Das Jahrhundert	Die Jahrhunderte
Honey	Der Honig	-
Pile	Der Stapel	Die Stapel
Bowl	Die Schüssel	Die Schüsseln
Base	Die Basis	Die Basen
Fence	Der Zaun	Die Zäune
Rule	Die Regel	Die Regeln
Laughter	Das Lachen	-
Anger	Der Ärger	-
Sweat	Der Schweiß	-
Accident	Der Unfall	Die Unfälle
Weather	Das Wetter	-
Decision	Die Entscheidung	Die Entscheidungen
Angel	Der Engel	Die Engel
Strength	Die Stärke	Die Stärken
Chicken	Das Huhn	Die Hühner
Study	Das Studium	Die Studien
Tape	Das Band	Die Bänder
Wrist	Das Handgelenk	Die Handgelenke
Stop	Der Halt	Die Halte
Hip	Die Hüfte	Die Hüften
Government	Die Regierung	Die Regierungen
Belly	Der Bauch	Die Bäuche
Queen	Die Königin	Die Königinnen
Report	Der Bericht	Die Berichte
Tail	Der Schwanz	Die Schwänze
Plant	Die Pflanze	Die Pflanzen
Flame	Die Flamme	Die Flammen
Heaven	Der Himmel	Die Himmel
Belt	Der Gürtel	Die Gürtel
Neighborhood	Die Nachbarschaft	Die Nachbarschaften
Energy	Die Energie	-
Green	Das Grün	-
Quarter	Das Viertel	Die Viertel
Enemy	Der Feind	Die Feinde
Move	Der Zug	Die Züge
Entrance	Der Eingang	Die Eingänge
Library	Die Bibliothek	Die Bibliotheken
Writer	Der Schriftsteller	Die Schriftsteller
Peace	Der Frieden	-
Touch	Die Berührung	Die Berührungen
Pot	Der Topf	Die Töpfe
Type	Die Art	-
Cause	Die Ursache	Die Ursachen
Rope	Das Seil	Die Seile
Muscle	Der Muskel	Die Muskeln
Painting	Das Gemälde	Die Gemälde
Curtain	Der Vorhang	Die Vorhänge
Meal	Die Mahlzeit	Die Mahlzeiten
Act	Der Akt	Die Akte
Wolf	Der Wolf	Die Wölfe
Cabin	Die Kabine	Die Kabinen
Charge	Die Gebühr	Die Gebühren
Clock	Die Uhr	Die Uhren
Passenger	Der Passagier	Die Passagiere
Buddy	Der Kumpel	Die Kumpel
Drug	Das Medikament	Die Medikamente
Use	Die Verwendung	Die Verwendungen
Bench	Die Bank	Die Bänke
Traffic	Der Verkehr	-
Relief	Die Erleichterung	-
Cap	Die Mütze	Die Mützen
Pack	Das Pack	Die Packs
Weekend	Das Wochenende	Die Wochenenden
Stand	Der Stand	Die Stände
Elevator	Der Aufzug	Die Aufzüge
Birthday	Der Geburtstag	Die Geburtstage
Lily	Die Lilie	Die Lilien
Iron	Das Eisen	Die Eisen
Meat	Das Fleisch	-
Eyebrow	Die Augenbraue	Die Augenbrauen
Response	Die Antwort	Die Antworten
Speed	Die Geschwindigkeit	Die Geschwindigkeiten
Purpose	Der Zweck	Die Zwecke
Skirt	Der Rock	Die Röcke
Square	Das Quadrat	Die Quadrate
Drive	Die Fahrt	Die Fahrten
Article	Der Artikel	Die Artikel
English	Das Englisch	-
Tower	Der Turm	Die Türme
Battle	Die Schlacht	Die Schlachten
Film	Der Film	Die Filme
Race	Das Rennen	Die Rennen
Shock	Der Schock	Die Schocks
Section	Die Sektion	Die Sektionen
Manner	Die Art	-
Sword	Das Schwert	Die Schwerter
Stick	Der Stock	Die Stöcke
File	Die Datei	Die Dateien
Bread	Das Brot	-
