Tear	Die Träne	Die Tränen
Class	Die Klasse	Die Klassen
Sea	Das Meer	Die Meere
Animal	Das Tier	Die Tiere
Center	Das Zentrum	Die Zentren
Feeling	Das Gefühl	Die Gefühle
Store	Das Geschäft	Die Geschäfte
Mountain	Der Berg	Die Berge
News	Die Nachrichten	-
Shoe	Der Schuh	Die Schuhe
Cat	Die Katze	Die Katzen
Screen	Der Bildschirm	Die Bildschirme
Bottle	Die Flasche	Die Flaschen
Call	Der Anruf	Die Anrufe
Living	Das Wohnzimmer	Die Wohnzimmer
Cheek	Die Wange	Die Wangen
Student	Der Student	Die Studenten
Ball	Der Ball	Die Bälle
Sight	Der Anblick	Die Anblicke
Hill	Der Hügel	Die Hügel
Company	Das Unternehmen	Die Unternehmen
Church	Die Kirche	Die Kirchen
Rain	Der Regen	Die Regen
Suit	Der Anzug	Die Anzüge
One	Die Eins	-
Direction	Die Richtung	Die Richtungen
Will	Der Wille	-
Throat	Der Hals	Die Hälse
Middle	Die Mitte	-
Answer	Die Antwort	Die Antworten
Stuff	Das Zeug	-
Hospital	Das Krankenhaus	Die Krankenhäuser
Camera	Die Kamera	Die Kameras
Dress	Das Kleid	Die Kleider
Card	Die Karte	Die Karten
Yard	Der Hof	Die Höfe
Dark	Die Dunkelheit	-
Shit	Die Scheiße	-
Image	Das Bild	Die Bilder
Machine	Die Maschine	Die Maschinen
Distance	Die Entfernung	Die Entfernungen
Area	Das Gebiet	Die Gebiete
Narrator	Der Erzähler	Die Erzähler
Ice	Das Eis	Die Eis
Snow	Der Schnee	-
Note	Die Notiz	Die Notizen
Mirror	Der Spiegel	Die Spiegel
King	Der König	Die Könige
Fear	Die Angst	-
Officer	Der Beamte	Die Beamten
Hole	Das Loch	Die Löcher
Shot	Der Schuss	Die Schüsse
Guard	Der Wächter	Die Wächter
Conversation	Das Gespräch	Die Gespräche
Boat	Das Boot	Die Boote
System	Das System	Die Systeme
Care	Die Sorge	Die Sorgen
Bit	Das Bit	Die Bits
Movie	Der Film	Die Filme
Bone	Der Knochen	Die Knochen
Page	Die Seite	Die Seiten
Captain	Der Kapitän	Die Kapitäne
Aunt	Die Tante	Die Tanten
Darkness	Die Dunkelheit	-
Control	Die Kontrolle	Die Kontrollen
Drink	Das Getränk	Die Getränke
Hotel	Das Hotel	Die Hotels
Coat	Der Mantel	Die Mäntel
Stair	Die Treppe	Die Treppen
Order	Die Bestellung	Die Bestellungen
Rose	Die Rose	Die Rosen
Miss	Die Miss	-
Hat	Der Hut	Die Hüte
Gold	Das Gold	-
Cigarette	Die Zigarette	Die Zigaretten
Cloud	Die Wolke	Die Wolken
View	Die Aussicht	Die Aussichten
Driver	Der Fahrer	Die Fahrer
Cup	Die Tasse	Die Tassen
Figure	Die Figur	Die Figuren
Expression	Der Ausdruck	Die Ausdrücke
Path	Der Weg	Die Wege
Key	Der Schlüssel	Die Schlüssel
Computer	Der Computer	Die Computer
Flower	Die Blume	Die Blumen
Ring	Der Ring	Die Ringe
Bathroom	Das Badezimmer	Die Badezimmer
Metal	Das Metall	Die Metalle
Moon	Der Mond	Die Monde
Song	Das Lied	Die Lieder
Soldier	Der Soldat	Die Soldaten
Radio	Das Radio	Die Radios
History	Die Geschichte	Die Geschichten
Wave	Die Welle	Die Wellen
Plan	Der Plan	Die Pläne
College	Das College	Die Colleges
Fish	Der Fisch	Die Fische
Garden	Der Garten	Die Gärten
Train	Der Zug	Die Züge
Shop	Das Geschäft	Die Geschäfte
