Step	Der Schritt	Die Schritte
Blood	Das Blut	-
Fact	Die Tatsache	Die Tatsachen
Breath	Der Atem	Die Atemzüge
Lip	Die Lippe	Die Lippen
Sun	Die Sonne	Die Sonnen
Building	Das Gebäude	Die Gebäude
Number	Die Nummer	Die Nummern
Husband	Der Ehemann	Die Ehemänner
Parent	Der Elternteil	Die Elternteile
Corner	Die Ecke	Die Ecken
Problem	Das Problem	Die Probleme
Couple	Das Paar	Die Paare
Daughter	Die Tochter	Die Töchter
Bag	Die Tasche	Die Taschen
Hell	Die Hölle	-
Rest	Die Ruhe	-
Business	Das Geschäft	Die Geschäfte
Sky	Der Himmel	Die Himmel
Box	Die Schachtel	Die Schachteln
Person	Die Person	Die Personen
Reason	Der Grund	Die Gründe
Right	Das Recht	-
Skin	Die Haut	Die Häute
Dad	Der Vater	Die Väter
Case	Der Fall	Die Fälle
Piece	Das Stück	Die Stücke
Doctor	Der Arzt	Die Ärzte
Edge	Der Rand	Die Ränder
Mom	Die Mutter	Die Mütter
Picture	Das Bild	Die Bilder
Sense	Der Sinn	Die Sinne
Ear	Das Ohr	Die Ohren
Second	Die Sekunde	Die Sekunden
Lady	Die Dame	Die Damen
Neck	Der Hals	Die Hälse
Wind	Der Wind	Die Winde
Desk	Der Schreibtisch	Die Schreibtische
Gun	Die Waffe	Die Waffen
Stone	Der Stein	Die Steine
Coffee	Der Kaffee	Die Kaffees
Ship	Das Schiff	Die Schiffe
Earth	Die Erde	-
Food	Das Essen	-
Horse	Das Pferd	Die Pferde
Field	Das Feld	Die Felder
War	Der Krieg	Die Kriege
Afternoon	Der Nachmittag	Die Nachmittage
Sir	Der Herr	Die Herren
Space	Der Raum	Die Räume
Evening	Der Abend	Die Abende
Letter	Der Brief	Die Briefe
Bar	Die Bar	Die Bars
Dream	Der Traum	Die Träume
Apartment	Die Wohnung	Die Wohnungen
Chest	Die Brust	Die Brüste
Game	Das Spiel	Die Spiele
Summer	Der Sommer	Die Sommer
Matter	Die Angelegenheit	Die Angelegenheiten
Silence	Die Stille	-
Top	Die Spitze	Die Spitzen
Rock	Der Felsen	Die Felsen
Power	Die Macht	-
Clothes	Die Kleidung	-
Sign	Das Schild	Die Schilder
Attention	Die Aufmerksamkeit	-
Music	Die Musik	-
State	Der Zustand	Die Zustände
Pocket	Die Tasche	Die Taschen
Dinner	Das Abendessen	Die Abendessen
Hall	Der Saal	Die Säle
Pain	Der Schmerz	Die Schmerzen
Age	Das Alter	-
River	Der Fluss	Die Flüsse
Chance	Die Chance	Die Chancen
Nose	Die Nase	Die Nasen
Shadow	Der Schatten	Die Schatten
Police	Die Polizei	-
Memory	Die Erinnerung	Die Erinnerungen
Color	Die Farbe	Die Farben
Knee	Das Knie	Die Knie
Wood	Das Holz	-
Shirt	Das Hemd	Die Hemden
Party	Die Party	Die Partys
Country	Das Land	Die Länder
Truck	Der Lastwagen	Die Lastwagen
Tooth	Der Zahn	Die Zähne
Bill	Die Rechnung	Die Rechnungen
Scene	Die Szene	Die Szenen
Land	Das Land	Die Länder
Star	Der Stern	Die Sterne
Bird	Der Vogel	Die Vögel
Bedroom	Das Schlafzimmer	Die Schlafzimmer
Uncle	Der Onkel	Die Onkel
Sort	Die Art	-
Group	Die Gruppe	Die Gruppen
Truth	Die Wahrheit	Die Wahrheiten
Trouble	Die Schwierigkeit	-
Crowd	Die Menschenmenge	Die Menschenmengen
Station	Der Bahnhof	Die Bahnhöfe
