Cop	Der Polizist	Die Polizisten
Art	Die Kunst	-
Beer	Das Bier	Die Biere
North	Der Norden	-
Island	Die Insel	Die Inseln
Bus	Der Bus	Die Busse
Smell	Der Geruch	Die Gerüche
Noise	Das Geräusch	Die Geräusche
Mama	Mama	-
Park	Der Park	Die Parks
South	Der Süden	-
Pair	Das Paar	Die Paare
Lord	Der Herr	Die Herren
Plate	Der Teller	Die Teller
Jacket	Die Jacke	Die Jacken
Help	Die Hilfe	Die Hilfen
Daddy	Der Papa	Die Papas
Grass	Das Gras	Die Gräser
Thanks	Der Dank	Die Danksagungen
Heat	Die Hitze	-
Sleep	Der Schlaf	-
Brain	Das Gehirn	Die Gehirne
Service	Der Service	Die Services
Trip	Die Reise	Die Reisen
Beat	Der Schlag	Die Schläge
Knife	Das Messer	Die Messer
Spot	Der Fleck	Die Flecken
Message	Die Nachricht	Die Nachrichten
Mark	Das Zeichen	Die Zeichen
Teacher	Der Lehrer	Die Lehrer
Gaze	Der Blick	Die Blicke
Village	Das Dorf	Die Dörfer
Winter	Der Winter	Die Winter
Front	Die Front	Die Fronten
Law	Das Gesetz	Die Gesetze
Surface	Die Oberfläche	Die Oberflächen
Bank	Die Bank	Die Banken
Team	Das Team	Die Teams
Maximum	Das Maximum	Die Maxima
Position	Die Position	Die Positionen
Stomach	Der Magen	Die Mägen
Turn	Die Wende	-
West	Der Westen	-
Lunch	Das Mittagessen	Die Mittagessen
Change	Die Veränderung	Die Veränderungen
Creature	Das Lebewesen	Die Lebewesen
Soul	Die Seele	Die Seelen
Leaf	Das Blatt	Die Blätter
Show	Die Show	Die Shows
Gate	Das Tor	Die Tore
Palm	Die Palme	Die Palmen
Plastic	Das Plastik	-
Force	Die Kraft	Die Kräfte
Beach	Der Strand	Die Strände
President	Der Präsident	Die Präsidenten
Shape	Die Form	Die Formen
Smoke	Der Rauch	Die Rauch
Wheel	Das Rad	Die Räder
Silver	Das Silber	-
Roof	Das Dach	Die Dächer
Weight	Das Gewicht	Die Gewichte
Tongue	Die Zunge	Die Zungen
Tea	Der Tee	Die Tees
Track	Die Strecke	Die Strecken
Angle	Der Winkel	Die Winkel
Form	Die Form	Die Formen
Tone	Der Ton	Die Töne
Circle	Der Kreis	Die Kreise
Spring	Der Frühling	Die Frühlinge
Porch	Die Veranda	Die Veranden
Sheet	Das Blatt	Die Blätter
Member	Das Mitglied	Die Mitglieder
Pool	Der Pool	Die Pools
Need	Das Bedürfnis	Die Bedürfnisse
Hope	Die Hoffnung	Die Hoffnungen
Lake	Der See	Die Seen
Breast	Die Brust	Die Brüste
Surprise	Die Überraschung	Die Überraschungen
Interest	Das Interesse	-
Bottom	Der Boden	Die Böden
Spirit	Der Geist	Die Geister
Block	Der Block	Die Blöcke
Language	Die Sprache	Die Sprachen
Bridge	Die Brücke	Die Brücken
Dust	Der Staub	-
Cell	Die Zelle	Die Zellen
Wine	Der Wein	Die Weine
Boot	Der Stiefel	Die Stiefel
Choice	Die Wahl	Die Wahlen
Row	Die Reihe	Die Reihen
Talk	Das Gespräch	Die Gespräche
Plane	Das Flugzeug	Die Flugzeuge
Watch	Die Uhr	Die Uhren
Information	Die Information	Die Informationen
Grandmother	Die Großmutter	-
Wing	Der Flügel	Die Flügel
Bob	Der Bob	Die Bobs
Club	Der Club	Die Clubs
Master	Der Meister	Die Meister
Grace	Die Gnade	Die Gnaden
